Pays;Annee;actu_moyenne;actu_top3;consulat_moyenne;consulat_top3;guides_moyenne;guides_top3;loisirs_moyenne;loisirs_top3;politique_moyenne;politique_top3;religion_moyenne;religion_top3;reservations_moyenne;reservations_top3;sante_moyenne;sante_top3;stats_moyenne;stats_top3;tourisme_moyenne;tourisme_top3
République tchèque;2015;0,402884542;2,265739188;-0,002015464;0,013247831;0,046754144;0,525429841;-0,005992009;0,00028696;-0,140401717;0,61895019;-0,006899768;0,040006658;0,020913448;0,250493915;-0,016195289;-0,000177208;-0,094260288;0,2298521;0,376115088;2,5245947
République tchèque;2019;-0,275558609;1,811085995;0,003750351;0,056922401;-0,031378857;-0,003820323;0,010977981;0,171995892;0,157365142;0,825299581;0,022959951;0,317884086;-0,009499647;0,028301315;-0,018276653;-0,003154744;-0,058165292;0,415655766;-0,313764096;1,632342704
Roumanie;2005;-0,191478751;1,48794775;-0,001487786;0,022225694;-0,027029676;0,047557939;-0,005982116;0,002060766;0,026910952;0,92097215;-0,008945435;0,023337699;-0,00931555;0,048584101;-0,01019529;0,033046043;0,165261409;1,624391837;-0,269066171;1,655287586
Roumanie;2010;-0,042865065;2,090039509;-0,003545171;0,006171524;-0,032373069;-0,017080009;-0,0065598;-0,002344672;0,060130007;0,589961705;0,031468739;0,277631218;-0,014707562;0,009956227;-0,01715695;-0,007128598;-0,07586733;0,109002588;-0,155529856;2,005777178
Roumanie;2015;0,09709776;2,17490645;-0,000911157;0,016099209;0,064922924;0,565415278;-0,006176769;0,000781015;-0,093165114;0,360641008;-0,014991081;-0,000293985;0,024311232;0,259367238;-0,015813227;-0,000482898;-0,121334998;0,013028021;0,050319754;2,518407606
Roumanie;2019;-0,541222243;0,411325201;0,005390111;0,068160782;-0,034719751;-0,026181997;-0,006735371;0,001432235;0,262717378;0,94698509;0,024770755;0,273860311;-0,013887009;0,00897409;0,019923568;0,310639457;0,027865596;1,002836673;-0,580575457;0,255886914
Royaume-Uni;2005;-0,307298698;2,11793527;-0,001119123;0,013629905;0,001670102;0,573144504;-0,005288848;0,005582614;0,132480149;0,882686777;-0,010489304;0,037567343;-0,004956142;0,053421769;-0,015039455;0,020807433;0,211226945;1,381368327;-0,425085531;2,13617373
Royaume-Uni;2010;-0,116074186;1,963708735;0,004281794;0,021089617;-0,031516194;-0,015864488;-0,005778773;0,001238739;0,006412093;0,670047931;0,022981686;0,302358171;0,000703815;0,041373106;-0,014251553;0,011719032;-0,021100699;0,482322488;-0,112784397;2,091296116
Royaume-Uni;2015;-0,358310742;1,689334261;0,000925186;0,019431206;-0,017192047;0,106243463;-0,002732282;0,028418124;0,052188701;0,70768318;-0,014367379;0,004446176;0,018447393;0,251814684;-0,017051942;-0,004479337;-0,029949097;0,512627436;-0,407580028;0,65772228
Royaume-Uni;2019;-0,643925297;0,557084613;-0,001249081;0,035126634;-0,034547611;-0,019122223;0,011512753;0,14777502;0,398485156;0,821297523;0,026995256;0,260019998;-0,015230699;0,003632303;-0,018834104;-0,006450958;0,044940712;0,805925575;-0,611775696;0,103979103
Russie;2005;-0,667437183;0,215418249;0,001766387;0,026102723;-0,031674575;-0,006813714;-0,006847159;-0,001222438;0,262892882;0,911487371;0,014131765;0,333568735;-0,015952511;-0,003733423;0,009165448;0,46388939;0,110044156;0,881066395;-0,603452764;0,203677072
Russie;2010;-0,369399544;1,938798926;-0,002443218;0,013514805;-0,03295667;-0,019126415;-0,006356268;-8,13031E-05;0,142234123;0,6736283;0,015197951;0,232304588;-0,016976086;0,001071586;-0,015040985;0,006498969;-0,006053558;0,342021413;-0,335409587;1,869694812
Russie;2015;0,104905016;2,07576074;-0,004919827;0,002244646;0,003675683;0,287545447;-0,007239768;-0,005158994;0,145484614;0,741898673;-0,01203312;0,007423351;-0,016212711;0,012432456;-0,016649774;0,0024226;-0,060242449;0,303060556;-0,215331689;1,977670257
Russie;2019;-0,495827748;1,465601158;0,003964974;0,067814334;-0,034075895;-0,014433527;0,01118091;0,156260373;0,239307448;0,908169851;0,023378696;0,256483899;-0,013949545;0,020568573;-0,008444449;0,081983751;-0,037119949;0,645550344;-0,451180479;1,224269638
Rwanda;2005;-0,316308603;1,79612385;-0,004318392;0,004196372;-0,029764334;-0,004380126;-0,004778716;0,005839861;0,22392995;1,104858699;-0,001413894;0,050467078;-0,01131084;0,038306747;-0,014377173;0,0018165;0,15859062;1,72643129;-0,578033646;0,426952806
Rwanda;2010;-0,085471359;2,12037304;-0,00300913;0,007031056;-0,036394164;-0,029980403;-0,00775244;-0,005459119;0,350739487;1,013365258;0,07673819;0,633016577;-0,01705508;-0,007065509;-0,018242848;-0,010356138;0,006050562;0,367608535;-0,440768802;0,752730939
Rwanda;2015;-0,369530086;1,851719183;-0,002499069;0,005378579;-0,014657975;0,123702922;-0,004625347;0,013965089;0,157689293;0,689716663;-0,008819315;0,013181993;0,019431678;0,251154054;-0,020172338;-0,016767776;-0,069732306;0,197094651;-0,53055957;0,153828979
Rwanda;2019;-0,737145406;0,282555688;-0,001259209;0,028124628;-0,034234826;-0,018670641;-0,00788144;-0,005949537;0,394016016;0,755707347;0,018854709;0,180099381;-0,015235289;0,001463855;-0,018712075;-0,004497416;-0,026518217;0,379134864;-0,662963055;-0,387261171
São Tomé-et-Principe;2005;0,102641025;2,112984209;-0,003072799;0,014804856;-0,031825292;-0,010984796;-0,005679367;-0,002301791;0,023638069;0,909894166;-0,011649639;0,031016591;-0,011269707;0,061979277;-0,014103723;0,012532319;0,189662514;1,201379537;-0,180393287;2,499808159
São Tomé-et-Principe;2010;0,300373061;2,271301984;0,00145905;0,035093073;0,025019156;0,393228494;-0,005409907;-0,00094064;-0,195574485;0,457356183;-0,016032434;-0,003497779;0,028451501;0,314157252;-0,012021832;0,020464333;-0,035626989;0,541965433;0,477952076;2,67983363
São Tomé-et-Principe;2015;0,824765805;2,329644125;-0,001419333;0,018889319;0,010390431;0,223725798;-0,004969159;0,006704446;-0,290781728;0,301082537;-0,013609282;0,02984677;0,078067807;0,558161169;0,00415795;0,160550715;-0,03376294;0,631178804;0,761981842;2,505478053
São Tomé-et-Principe;2019;-0,027781375;2,143069108;0,002188371;0,035838111;0,036896617;0,58016245;-0,004752807;0,007550103;-0,07447711;0,529530021;-0,017096569;-0,000704955;-0,007892232;0,034143346;-0,017248553;-0,00313609;0,111743616;1,136270002;-0,051824421;2,09217508
Sénégal;2005;-0,217615251;1,972466219;-0,00058827;0,010147668;0,053632683;1,286535886;-0,003755448;0,028109691;0,098441695;1,019508974;0,009923462;0,300599421;-0,015049382;0,003089794;-0,010769916;0,088072567;0,127109207;1,100825498;-0,485433463;1,731644754
Sénégal;2010;-0,046372012;2,104758677;0,002157765;0,026412946;-0,029803512;-0,008880115;-0,005797795;-0,000462371;0,091320876;0,573077955;-0,010593977;0,016286809;-0,013243404;0,008317231;-0,016677974;-0,007764201;0,073198464;0,906989464;-0,200356789;1,71220062
Sénégal;2015;0,162030361;2,348013141;0,002068458;0,017899785;0,053912405;0,688249388;0,009310153;0,129618534;-0,014113609;0,682047686;-0,01292062;0,017291053;0,019415436;0,268552962;-0,01179331;0,032355084;-0,005818649;0,620499308;0,087408124;2,365444893
