,Pays,Annee,Type_contenu,Prox_moyenne,Moyenne,Ecart_type,prox_harmonisee
5092,Sénégal,2010,stats,0.07319846365661978,-0.029483457825927678,0.07385699853762197,0.6951400917696539
5093,Tadjikistan,2010,stats,-0.04300589968361149,-0.029483457825927678,0.07385699853762197,-0.09154475625485661
5094,Tanzanie,2010,stats,-0.13556485990662237,-0.029483457825927678,0.07385699853762197,-0.7181540286033825
5095,Tchad,2010,stats,0.18686164861338553,-0.029483457825927678,0.07385699853762197,1.4646215708935784
5096,Thaïlande,2010,stats,-0.15703057174307594,-0.029483457825927678,0.07385699853762197,-0.8634734449178646
5097,Timor oriental,2010,stats,0.07276648293745624,-0.029483457825927678,0.07385699853762197,0.6922156517861939
5098,Togo,2010,stats,-0.004287089650448668,-0.029483457825927678,0.07385699853762197,0.1705753596434348
5099,Tonga,2010,stats,-0.0685670523208486,-0.029483457825927678,0.07385699853762197,-0.2645896480278179
5100,Trinité-et-Tobago,2010,stats,-0.06940744949097874,-0.029483457825927678,0.07385699853762197,-0.27027900168942154
5101,Tunisie,2010,stats,-0.048386961760201734,-0.029483457825927678,0.07385699853762197,-0.12797368095485773
5102,Turkménistan,2010,stats,-0.050221063356982044,-0.029483457825927678,0.07385699853762197,-0.14039025374481506
5103,Turquie,2010,stats,0.025307000297778003,-0.029483457825927678,0.07385699853762197,0.3709225883028269
5104,Tuvalu,2010,stats,0.03270877356656663,-0.029483457825927678,0.07385699853762197,0.42103140273710316
5105,Ukraine,2010,stats,-0.01573028936184601,-0.029483457825927678,0.07385699853762197,0.09310673826716605
5106,Uruguay,2010,stats,-0.012911593413573228,-0.029483457825927678,0.07385699853762197,0.11218885644203992
5107,Vanuatu,2010,stats,-0.10568890558076328,-0.029483457825927678,0.07385699853762197,-0.5158986234460731
5108,Vatican,2010,stats,-0.09705472392293674,-0.029483457825927678,0.07385699853762197,-0.4574466024542615
5109,Venezuela,2010,stats,0.024323308038325754,-0.029483457825927678,0.07385699853762197,0.36426314993591863
5110,Viêt Nam,2010,stats,-0.011757206247301614,-0.029483457825927678,0.07385699853762197,0.12000387187137383
5111,Yémen,2010,stats,-0.0297828050654765,-0.029483457825927678,0.07385699853762197,-0.0020265326609254187
5112,Zambie,2010,stats,-0.0020075305596073283,-0.029483457825927678,0.07385699853762197,0.18600760801513214
5113,Zimbabwe,2010,stats,-0.004438557003444339,-0.029483457825927678,0.07385699853762197,0.16954995002759105
5114,Égypte,2010,stats,-0.06605475049838776,-0.029483457825927678,0.07385699853762197,-0.24758176880035987
5115,Émirats arabes unis,2010,stats,-0.05321413454273819,-0.029483457825927678,0.07385699853762197,-0.1606528642287187
5116,Équateur,2010,stats,-0.09951137957384765,-0.029483457825927678,0.07385699853762197,-0.47407776605116503
5117,Érythrée,2010,stats,0.09822646889692595,-0.029483457825927678,0.07385699853762197,0.8645756614236061
5118,États-Unis,2010,stats,-0.025887650815453654,-0.029483457825927678,0.07385699853762197,0.02434303506554195
5119,Éthiopie,2010,stats,-0.02268173650744844,-0.029483457825927678,0.07385699853762197,0.046046559250674905
5120,Îles Cook,2010,stats,-0.08179845926109025,-0.029483457825927678,0.07385699853762197,-0.35416414470535157
5121,Îles Marshall,2010,stats,0.17439688177629756,-0.029483457825927678,0.07385699853762197,1.380237104398243
5122,Afghanistan,2015,stats,-0.09411245135699396,-0.06736048771311623,0.06452418302500387,-0.2073018393236458
5123,Afrique du Sud,2015,stats,-0.10519013118012868,-0.06736048771311623,0.06452418302500387,-0.29314314179191564
5124,Albanie,2015,stats,-0.08177674412128734,-0.06736048771311623,0.06452418302500387,-0.11171204137977728
5125,Algérie,2015,stats,-0.03818850790170107,-0.06736048771311623,0.06452418302500387,0.2260546235828408
5126,Allemagne,2015,stats,-0.0008852615530842449,-0.06736048771311623,0.06452418302500387,0.5151186969253997
5127,Andorre,2015,stats,-0.10103361020045204,-0.06736048771311623,0.06452418302500387,-0.2609341250728202
5128,Angola,2015,stats,-0.03190046843939617,-0.06736048771311623,0.06452418302500387,0.2747808465856816
5129,Antigua-et-Barbuda,2015,stats,-0.08648784250147612,-0.06736048771311623,0.06452418302500387,-0.1482184964740105
5130,Arabie Saoudite,2015,stats,-0.07426681255084754,-0.06736048771311623,0.06452418302500387,-0.05351733655469163
5131,Argentine,2015,stats,-0.08005667094471144,-0.06736048771311623,0.06452418302500387,-0.09838313820010162
5132,Arménie,2015,stats,-0.0707291820128573,-0.06736048771311623,0.06452418302500387,-0.026104122065642135
5133,Australie,2015,stats,-0.11322156755935742,-0.06736048771311623,0.06452418302500387,-0.3553790043995558
5134,Autriche,2015,stats,-0.11444221674087847,-0.06736048771311623,0.06452418302500387,-0.36483785474290714
